Wall time,Step,Value
1716050267.7506344,100,0.04363076761364937
1716050275.4832745,200,0.02690282091498375
1716050283.7140546,300,0.013035972602665424
1716050293.4887033,400,0.012291306629776955
1716050303.1662107,500,0.009667277336120605
1716050312.7862968,600,0.0077888453379273415
1716050322.9526007,700,0.00661463150754571
1716050332.9544885,800,0.006185378413647413
1716050343.0773253,900,0.007268467452377081
1716050353.1831343,1000,0.008955730125308037
1716050363.5748818,1100,0.004643861670047045
1716050373.8807337,1200,0.004386154934763908
1716050384.1985917,1300,0.004183411132544279
1716050394.700908,1400,0.00405794708058238
1716050405.1941187,1500,0.0038740294985473156
1716050416.0460498,1600,0.0037429567892104387
1716050429.1704147,1700,0.0036043901927769184
1716050442.6609669,1800,0.00436812499538064
1716050454.460938,1900,0.0047159381210803986
1716050468.2797918,2000,0.003396310843527317
1716050482.4034493,2100,0.003274901770055294
1716050496.6580107,2200,0.003165913512930274
1716050510.8021185,2300,0.003126117866486311
1716050525.097835,2400,0.0030044501181691885
1716050539.6902819,2500,0.003050448838621378
1716050554.4140432,2600,0.0032251260709017515
1716050569.2265136,2700,0.0032301521860063076
1716050583.12032,2800,0.003221977734938264
1716050596.6077127,2900,0.004383032210171223
1716050611.420598,3000,0.0027765792328864336
1716050625.8762102,3100,0.0027242747601121664
1716050639.334995,3200,0.003013834124431014
1716050653.6409903,3300,0.002867030445486307
1716050667.8234646,3400,0.002586405025795102
1716050682.2393358,3500,0.0026188604533672333
1716050696.6033685,3600,0.0026848926208913326
1716050711.0601714,3700,0.002515990985557437
1716050725.4196553,3800,0.0024805625434964895
1716050739.799578,3900,0.0024889453779906034
1716050752.5156457,4000,0.002462285803630948
1716050766.2177982,4100,0.0024640669580549
1716050773.459137,4200,0.0034534947481006384
1716050780.7684972,4300,0.0024011123459786177
1716050788.4518363,4400,0.0023519275709986687
1716050796.645609,4500,0.002415749244391918
1716050804.5651612,4600,0.002304244553670287
1716050812.721647,4700,0.002288264222443104
1716050820.6748164,4800,0.0022823605686426163
1716050828.2125988,4900,0.002259961562231183
1716050835.4909787,5000,0.0022432529367506504
1716050842.7102385,5100,0.0022571273148059845
1716050849.8552632,5200,0.0022153297904878855
1716050857.1918967,5300,0.0021981492172926664
1716050866.1043274,5400,0.002222336595878005
1716050878.974567,5500,0.00220353901386261
1716050892.7136047,5600,0.002168141072615981
1716050907.3631208,5700,0.002172620501369238
1716050922.2162483,5800,0.002200573217123747
1716050937.190326,5900,0.0021363806445151567
1716050952.6703117,6000,0.002119621029123664
1716050968.1608148,6100,0.002109293593093753
1716050983.3319552,6200,0.0021080109290778637
1716050998.4589403,6300,0.0021373990457504988
1716051012.8555274,6400,0.0020875136833637953
1716051028.004294,6500,0.0020757464226335287
1716051040.234212,6600,0.0020676623098552227
1716051053.8145342,6700,0.0020603621378540993
1716051069.0363646,6800,0.0020551232155412436
1716051084.229221,6900,0.0020461096428334713
1716051099.4462209,7000,0.002062384271994233
1716051114.6059988,7100,0.002029269002377987
1716051129.738677,7200,0.0020218316931277514
1716051144.9853477,7300,0.0020236754789948463
1716051160.1587076,7400,0.0020168668124824762
1716051175.5336664,7500,0.002007040660828352
1716051190.93116,7600,0.002035233424976468
1716051204.6521835,7700,0.001996429171413183
1716051217.0055773,7800,0.001986842369660735
1716051231.3288245,7900,0.002003057859838009
