Wall time,Step,Value
1715936040.0100687,100,0.9341980814933777
1715936052.551791,200,0.6739582419395447
1715936064.9945924,300,0.39063388109207153
1715936077.5740776,400,0.35576993227005005
1715936089.9883938,500,0.33055055141448975
1715936102.5604155,600,0.31259360909461975
1715936114.8494072,700,0.2948262393474579
1715936127.2498436,800,0.2809869050979614
1715936139.6875308,900,0.2651369273662567
1715936152.2445667,1000,0.2542855739593506
1715936164.568421,1100,0.24169546365737915
1715936176.3409631,1200,0.23298075795173645
1715936187.850736,1300,0.2251579761505127
1715936199.5057373,1400,0.2152625024318695
1715936211.1003044,1500,0.20979689061641693
1715936222.9667635,1600,0.2028122991323471
1715936234.2782881,1700,0.19655495882034302
1715936246.0199533,1800,0.19003313779830933
1715936257.297679,1900,0.18602541089057922
1715936270.8699589,2000,0.1789662092924118
1715936284.7985067,2100,0.17546521127223969
1715936298.8724244,2200,0.17118771374225616
1715936312.6448765,2300,0.16539010405540466
1715936326.452492,2400,0.16328845918178558
1715936340.2062619,2500,0.15994228422641754
1715936353.8793373,2600,0.1555188000202179
1715936367.5245469,2700,0.15247242152690887
1715936381.2939262,2800,0.14981020987033844
1715936394.6003976,2900,0.14683547616004944
1715936408.0975273,3000,0.14365261793136597
1715936421.8249466,3100,0.14131295680999756
1715936435.3909633,3200,0.138904869556427
1715936448.917017,3300,0.13654029369354248
1715936462.8342838,3400,0.13396623730659485
1715936476.9538448,3500,0.13154080510139465
1715936491.2169154,3600,0.12959544360637665
1715936505.4335394,3700,0.12781739234924316
1715936519.800922,3800,0.12574951350688934
1715936534.3097696,3900,0.12388831377029419
1715936548.652866,4000,0.12213433533906937
1715936563.0284367,4100,0.12068284302949905
1715936577.5792136,4200,0.11907990276813507
1715936591.774993,4300,0.11739504337310791
1715936605.9491768,4400,0.11608444154262543
1715936619.9223268,4500,0.11463357508182526
1715936633.2155104,4600,0.11327094584703445
1715936646.5533059,4700,0.11181215196847916
1715936660.469038,4800,0.11073064804077148
1715936674.4403865,4900,0.10953959077596664
1715936688.3662624,5000,0.10838665068149567
1715936702.3392942,5100,0.10761845856904984
1715936716.3569484,5200,0.10615821182727814
1715936730.355864,5300,0.10545961558818817
1715936744.3927586,5400,0.10431300103664398
1715936758.4259834,5500,0.10344775766134262
1715936772.33068,5600,0.10268209874629974
1715936786.3634918,5700,0.10167137533426285
1715936800.0907412,5800,0.10082349181175232
